Unnamed: 0,macro_subject,domain_group,category_tag,open_status,paper_title,paper_id
12764,Other,Other / Cross-disciplinary,mind-matter interaction and water structure,open,"Unfolding the Labyrinth: Open Problems in Physics, Mathematics, Astrophysics and Other Areas of Science",math/0609238
12765,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",singular semilinear elliptic problems with absorption,open,Positive and free boundary solutions to singular nonlinear elliptic problems with absorption: an overview and open problems,zbmath/6283635
12766,Mathematical Physics,Mathematical Physics,solar nuclear processes modeling,open,"Unfolding the Labyrinth: Open Problems in Physics, Mathematics, Astrophysics and Other Areas of Science",math/0609238
12767,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",singular elliptic equations with measure data,partially_solved,Positive and free boundary solutions to singular nonlinear elliptic problems with absorption: an overview and open problems,zbmath/6283635
12768,Mathematical Physics,Mathematical Physics,Time variation of fundamental constants,open,"Unfolding the Labyrinth: Open Problems in Physics, Mathematics, Astrophysics and Other Areas of Science",math/0609238
12769,Applied Mathematics,Applied and Computational Mathematics,Bipedal locomotion control,open,"Models, feedback control, and open problems of 3D bipedal robotic walking",zbmath/6361547
12770,Mathematical Physics,Mathematical Physics,quantum information foundations,open,"Unfolding the Labyrinth: Open Problems in Physics, Mathematics, Astrophysics and Other Areas of Science",math/0609238
12771,Applied Mathematics,Applied and Computational Mathematics,hybrid impact models for bipedal walking,partially_solved,"Models, feedback control, and open problems of 3D bipedal robotic walking",zbmath/6361547
12772,Topology,Geometry and Topology,Selection principles and Scheepers diagram,unknown,Selection Principles and Special Sets of Reals,math/0609601
12773,Applied Mathematics,Applied and Computational Mathematics,hybrid biped periodic orbits,open,"Models, feedback control, and open problems of 3D bipedal robotic walking",zbmath/6361547
12774,Topology,Geometry and Topology,selection principles and σ-compact separation,partially_solved,Selection Principles and Special Sets of Reals,math/0609601
12775,Applied Mathematics,Applied and Computational Mathematics,hybrid dynamical models for bipedal walking,open,"Models, feedback control, and open problems of 3D bipedal robotic walking",zbmath/6361547
12776,Logic and Foundations,Logic and Foundations,selection principles and cardinal invariants,unknown,Selection Principles and Special Sets of Reals,math/0609601
12777,Applied Mathematics,Applied and Computational Mathematics,bipedal robot gait optimization,open,"Models, feedback control, and open problems of 3D bipedal robotic walking",zbmath/6361547
12778,Logic and Foundations,Logic and Foundations,selection principles and Borel conjecture,unknown,Selection Principles and Special Sets of Reals,math/0609601
12779,Geometry,Geometry and Topology,hypercomplex linear convexity,open,Known results and open problems in hypercomplex convexity,zbmath-6476600-known-results-and-open-problems-in-hypercomplex-convexity
12780,Logic and Foundations,Logic and Foundations,Selection principles and Borel covers,unknown,Selection Principles and Special Sets of Reals,math/0609601
12781,Analysis,"Analysis, PDEs, and Dynamics",hypercomplex/quaternionic convexity,open,Known results and open problems in hypercomplex convexity,zbmath-6476600-known-results-and-open-problems-in-hypercomplex-convexity
12782,Topology,Geometry and Topology,selection principles and covering properties,partially_solved,Selection Principles and Special Sets of Reals,math/0609601
12783,Combinatorics,Discrete Mathematics and Combinatorics,Ramsey-minimal graphs,open,Some Open Problems of Ramsey Minimal Graphs,zbmath/6769901
12784,Topology,Geometry and Topology,selection principles for Borel covers,open,Selection Principles and Special Sets of Reals,math/0609601
12785,Combinatorics,Discrete Mathematics and Combinatorics,Ramsey-minimal graphs,open,Some Open Problems of Ramsey Minimal Graphs,zbmath/6769901
12786,Logic and Foundations,Logic and Foundations,Selection principles for Borel covers,unknown,Selection Principles and Special Sets of Reals,math/0609601
12787,Topology,Geometry and Topology,3-manifold geometrization,solved,Open Problems in Geometry and Topology,zbmath/6857139
12788,Topology,Geometry and Topology,selection principles and products,unknown,Selection Principles and Special Sets of Reals,math/0609601
12789,Topology,Geometry and Topology,Vassiliev/finite-type knot invariants,unknown,Open Problems in Geometry and Topology,zbmath/6857139
12790,Topology,Geometry and Topology,selection principles and covering properties,open,Selection Principles and Special Sets of Reals,math/0609601
12791,Geometry,Geometry and Topology,almost complex vs complex structures,open,Open Problems in Geometry and Topology,zbmath/6857139
12792,Logic and Foundations,Logic and Foundations,Selection principles and set-theoretic topology,unknown,Selection Principles and Special Sets of Reals,math/0609601
12793,Topology,Geometry and Topology,Homotopy exponents / Moore's conjecture,open,Open Problems in Geometry and Topology,zbmath/6857139
12794,Logic and Foundations,Logic and Foundations,selection principles and special sets of reals,open,Selection Principles and Special Sets of Reals,math/0609601
12795,Topology,Geometry and Topology,Borel conjecture / Poincaré duality groups,open,Open Problems in Geometry and Topology,zbmath/6857139
12796,Logic and Foundations,Logic and Foundations,Selection principles and cardinal characteristics,unknown,Selection Principles and Special Sets of Reals,math/0609601
12797,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",1D compressible Euler in BV,open,Open Problems in Partial Differential Equations Arising from Fluid Dynamics,zbmath/6857147
12798,Logic and Foundations,Logic and Foundations,Selection principles and γ-sets,unknown,Selection Principles and Special Sets of Reals,math/0609601
12799,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",compressible Euler equations,open,Open Problems in Partial Differential Equations Arising from Fluid Dynamics,zbmath/6857147
12800,Topology,Geometry and Topology,Selection principles and covering properties,unknown,Selection Principles and Special Sets of Reals,math/0609601
12801,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Compressible Euler shock formation,partially_solved,Open Problems in Partial Differential Equations Arising from Fluid Dynamics,zbmath/6857147
12802,Topology,Geometry and Topology,selection principles and Borel covers,unknown,Selection Principles and Special Sets of Reals,math/0609601
12803,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",compressible Navier–Stokes equations,open,Open Problems in Partial Differential Equations Arising from Fluid Dynamics,zbmath/6857147
12804,Topology,Geometry and Topology,Selection principles and τ-covers,open,Selection Principles and Special Sets of Reals,math/0609601
12805,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",vanishing viscosity limit for compressible Navier-Stokes,partially_solved,Open Problems in Partial Differential Equations Arising from Fluid Dynamics,zbmath/6857147
12806,Topology,Geometry and Topology,selection principles and τ-covers,unknown,Selection Principles and Special Sets of Reals,math/0609601
12807,Topology,Geometry and Topology,Selection principles and open covers,unknown,Selection Principles and Special Sets of Reals,math/0609601
12808,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Boltzmann hydrodynamic limits,partially_solved,Open Problems in Partial Differential Equations Arising from Fluid Dynamics,zbmath/6857147
12809,Topology,Geometry and Topology,Selection principles and splittability,unknown,Selection Principles and Special Sets of Reals,math/0609601
12810,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Boltzmann equation,partially_solved,Open Problems in Partial Differential Equations Arising from Fluid Dynamics,zbmath/6857147
12811,Logic and Foundations,Logic and Foundations,Selection principles and cardinal characteristics,unknown,Selection Principles and Special Sets of Reals,math/0609601
12812,Combinatorics,Discrete Mathematics and Combinatorics,tensegrity configuration spaces,open,Open Problems on Configuration Spaces of Tensegrities,zbmath/6975001
12813,Topology,Geometry and Topology,Selection principles and Borel covers,unknown,Selection Principles and Special Sets of Reals,math/0609601
12814,Combinatorics,Discrete Mathematics and Combinatorics,tensegrity configuration spaces,open,Open Problems on Configuration Spaces of Tensegrities,zbmath/6975001
12815,Topology,Geometry and Topology,Selection principles in Cp-theory,unknown,Selection Principles and Special Sets of Reals,math/0609601
12816,Geometry,Geometry and Topology,tensegrity configuration spaces,open,Open Problems on Configuration Spaces of Tensegrities,zbmath/6975001
12817,Topology,Geometry and Topology,Selection principles in C_p-theory,unknown,Selection Principles and Special Sets of Reals,math/0609601
12818,Geometry,Geometry and Topology,tensegrity configuration spaces,open,Open Problems on Configuration Spaces of Tensegrities,zbmath/6975001
12819,Topology,Geometry and Topology,o-bounded topological groups,unknown,Selection Principles and Special Sets of Reals,math/0609601
12820,Geometry,Geometry and Topology,opaque sets / barrier problems,open,Trois problèmes (ouverts) de courbes optimales,zbmath/7228946
12821,Topology,Geometry and Topology,Selection principles in topological groups,unknown,Selection Principles and Special Sets of Reals,math/0609601
12822,Geometry,Geometry and Topology,Opaque sets / barrier problems,open,Trois problèmes (ouverts) de courbes optimales,zbmath/7228946
12823,Logic and Foundations,Logic and Foundations,Selection principles and Baer–Specker subgroups,solved,Selection Principles and Special Sets of Reals,math/0609601
12824,Geometry,Geometry and Topology,Isoperimetric problems for curves,open,Trois problèmes (ouverts) de courbes optimales,zbmath/7228946
12825,Logic and Foundations,Logic and Foundations,Selection principles and special sets of reals,unknown,Selection Principles and Special Sets of Reals,math/0609601
12826,Geometry,Geometry and Topology,optimal inspection curves,open,Trois problèmes (ouverts) de courbes optimales,zbmath/7228946
12827,Logic and Foundations,Logic and Foundations,Cardinal characteristics of the continuum,solved,Selection Principles and Special Sets of Reals,math/0609601
12828,Applied Mathematics,Applied and Computational Mathematics,Quasi-Newton methods and BFGS convergence,partially_solved,The Projection Technique for Two Open Problems of Unconstrained Optimization Problems,zbmath/7239447
12829,Logic and Foundations,Logic and Foundations,cardinal characteristics of the continuum,unknown,Selection Principles and Special Sets of Reals,math/0609601
12830,Applied Mathematics,Applied and Computational Mathematics,unconstrained optimization via projection,unknown,The Projection Technique for Two Open Problems of Unconstrained Optimization Problems,zbmath/7239447
12831,Topology,Geometry and Topology,selection principles in topology,unknown,Selection Principles and Special Sets of Reals,math/0609601
12832,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Coupled Maxwell-heat equations,partially_solved,Open problems in the theory of microwave heating,zbmath/7531948
12833,Logic and Foundations,Logic and Foundations,Set theory of the reals / Luzin sets,unknown,Selection Principles and Special Sets of Reals,math/0609601
12834,Analysis,"Analysis, PDEs, and Dynamics",fixed point properties for semigroups,open,Some Open Problems Related to Fixed Point Properties,zbmath/7621510
12835,Logic and Foundations,Logic and Foundations,special sets of reals,partially_solved,Selection Principles and Special Sets of Reals,math/0609601
12836,Analysis,"Analysis, PDEs, and Dynamics",amenability of Banach algebras,open,Some Open Problems Related to Fixed Point Properties,zbmath/7621510
12837,Logic and Foundations,Logic and Foundations,descriptive set theory and cardinal characteristics,unknown,Selection Principles and Special Sets of Reals,math/0609601
12838,Analysis,"Analysis, PDEs, and Dynamics",Fixed point properties of semigroup representations on Banach spaces,unknown,Some Open Problems Related to Fixed Point Properties,zbmath/7621510
12839,Algebra,Algebra and Representation Theory,Algebraic group actions and birational invariant theory,unknown,,math/0702533
12840,Analysis,"Analysis, PDEs, and Dynamics",Fixed point properties of semigroups,unknown,Some Open Problems Related to Fixed Point Properties,zbmath/7621510
12841,Algebra,Algebra and Representation Theory,Cayley maps for algebraic groups,open,,math/0702533
12842,Analysis,"Analysis, PDEs, and Dynamics",Fixed point properties of semigroups,unknown,Some Open Problems Related to Fixed Point Properties,zbmath/7621510
12843,Algebra,Algebra and Representation Theory,Cayley maps for algebraic groups,unknown,,math/0702533
12844,Analysis,"Analysis, PDEs, and Dynamics",Fixed point properties for amenable semigroups,unknown,Some Open Problems Related to Fixed Point Properties,zbmath/7621510
12845,Algebra,Algebra and Representation Theory,Algebraic group actions and quotient singularities,unknown,,math/0702533
12846,Analysis,"Analysis, PDEs, and Dynamics",fixed point properties for F-algebras,unknown,Some Open Problems Related to Fixed Point Properties,zbmath/7621510
12847,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Cremer Julia sets,open,,math/9201271
12848,Analysis,"Analysis, PDEs, and Dynamics",Fixed point properties of F-algebras,open,Some Open Problems Related to Fixed Point Properties,zbmath/7621510
12849,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Complex dynamics / Julia sets,partially_solved,,math/9201271
12850,Analysis,"Analysis, PDEs, and Dynamics",Fixed point properties for semigroups,open,Some Open Problems Related to Fixed Point Properties,zbmath/7621510
12851,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Complex dynamics / Cremer Julia sets,partially_solved,,math/9201271
12852,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Controllability of stochastic PDEs,unknown,Control theory of stochastic distributed parameter systems: recent progress and open problems,zbmath/7822595
12853,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Siegel disks of quadratic polynomials,open,,math/9201271
12854,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",stochastic controllability cost,open,Control theory of stochastic distributed parameter systems: recent progress and open problems,zbmath/7822595
12855,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Quadratic Julia sets,solved,,math/9201271
12856,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",stabilization of stochastic hyperbolic PDEs,open,Control theory of stochastic distributed parameter systems: recent progress and open problems,zbmath/7822595
12857,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Complex dynamics / Mandelbrot set,open,,math/9201271
12858,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",stochastic evolution equations and control,open,Control theory of stochastic distributed parameter systems: recent progress and open problems,zbmath/7822595
12859,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",complex dynamics of quadratic polynomials,solved,,math/9201271
12860,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Stochastic optimal control of SPDEs,open,Control theory of stochastic distributed parameter systems: recent progress and open problems,zbmath/7822595
12861,Dynamical Systems,"Analysis, PDEs, and Dynamics",polynomial mating and quasiconformal surgery,partially_solved,,math/9201271
12862,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",stochastic distributed parameter control,open,Control theory of stochastic distributed parameter systems: recent progress and open problems,zbmath/7822595
12863,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Polynomial tuning in holomorphic dynamics,partially_solved,,math/9201271
12864,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",stochastic distributed parameter control,open,Control theory of stochastic distributed parameter systems: recent progress and open problems,zbmath/7822595
12865,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Complex dynamics / polynomial tuning,unknown,,math/9201271
12866,Analysis,"Analysis, PDEs, and Dynamics",analytic multifunctions,open,Some open problems in the theory of analytic multifunctions,zbmath/7866988
12867,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Polynomial tuning in complex dynamics,unknown,,math/9201271
12868,Analysis,"Analysis, PDEs, and Dynamics",Analytic multifunctions and pluripolar sets,unknown,Some open problems in the theory of analytic multifunctions,zbmath/7866988
12869,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",complex polynomial dynamics / quasiconformal surgery,solved,,math/9201271
12870,Analysis,"Analysis, PDEs, and Dynamics",analytic multifunctions,open,Some open problems in the theory of analytic multifunctions,zbmath/7866988
12871,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Complex polynomial dynamics,unknown,,math/9201271
12872,Analysis,"Analysis, PDEs, and Dynamics",analytic multifunctions; Bloch–Landau constants,open,Some open problems in the theory of analytic multifunctions,zbmath/7866988
12873,Dynamical Systems,"Analysis, PDEs, and Dynamics",Thurston pull-back algorithm for interval maps,unknown,,math/9201271
12874,Number Theory,Number Theory,Function field arithmetic and motivic fundamental groups,open,Recent Progress and Open Problems in Function Field Arithmetic — The Influence of John Tate’s Work,zbmath/5679711
12875,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Thurston algorithm for interval maps,unknown,,math/9201271
12876,Number Theory,Number Theory,function field zeta functions,open,Recent Progress and Open Problems in Function Field Arithmetic — The Influence of John Tate’s Work,zbmath/5679711
12877,Dynamical Systems,"Analysis, PDEs, and Dynamics",Polynomial diffeomorphisms of C^2 / Fatou components,unknown,,math/9201271
12878,Number Theory,Number Theory,function field arithmetic gamma values,open,Recent Progress and Open Problems in Function Field Arithmetic — The Influence of John Tate’s Work,zbmath/5679711
12879,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Density of hyperbolicity in complex dynamics,partially_solved,,math/9201271
12880,Combinatorics,Discrete Mathematics and Combinatorics,spectral graph theory / graph irregularity,solved,Open problems on graph eigenvalues studied with AutoGraphiX,zbmath/6349864
12881,Dynamical Systems,"Analysis, PDEs, and Dynamics",Local connectivity of Julia sets,solved,,math/9201271
12882,Combinatorics,Discrete Mathematics and Combinatorics,spectral graph theory / Nordhaus–Gaddum bounds,solved,Open problems on graph eigenvalues studied with AutoGraphiX,zbmath/6349864
12883,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",geometrically finite rational maps,partially_solved,,math/9201271
12884,Combinatorics,Discrete Mathematics and Combinatorics,Graph energy extremal problems,partially_solved,Open problems on graph eigenvalues studied with AutoGraphiX,zbmath/6349864
12885,Dynamical Systems,"Analysis, PDEs, and Dynamics",Holomorphic dynamics on projective space,partially_solved,,math/9201271
12886,Combinatorics,Discrete Mathematics and Combinatorics,graph energy,open,Open problems on graph eigenvalues studied with AutoGraphiX,zbmath/6349864
12887,Analysis,"Analysis, PDEs, and Dynamics",CR functions and holomorphic extension,partially_solved,,math/9509202
12888,Combinatorics,Discrete Mathematics and Combinatorics,graph energy / spectral graph theory,open,Open problems for equienergetic graphs.,zbmath/6756818
12889,Analysis,"Analysis, PDEs, and Dynamics",Envelopes of holomorphy,unknown,,math/9509202
12890,Theoretical Computer Science,Theoretical Computer Science,Membrane computing complexity,open,From P systems to morphogenetic systems: an overview and open problems,zbmath/7395482
12891,Analysis,"Analysis, PDEs, and Dynamics",Several complex variables / Stein manifolds,open,,math/9509202
12892,Theoretical Computer Science,Theoretical Computer Science,Morphogenetic / membrane computing systems,open,From P systems to morphogenetic systems: an overview and open problems,zbmath/7395482
12893,Analysis,"Analysis, PDEs, and Dynamics",polynomial convexity in several complex variables,unknown,,math/9509202
12894,Theoretical Computer Science,Theoretical Computer Science,Morphogenetic (M-)systems,open,From P systems to morphogenetic systems: an overview and open problems,zbmath/7395482
12895,Analysis,"Analysis, PDEs, and Dynamics",Several complex variables / union problem,unknown,,math/9509202
12896,Analysis,"Analysis, PDEs, and Dynamics",Topological algebras / Gelfand–Mazur problem,open,Dense ideals in topological algebras: some results and open problems,zelazko-dense-ideals
12897,Analysis,"Analysis, PDEs, and Dynamics",Several complex variables — approximation on pseudoconvex domains,unknown,,math/9509202
12898,Analysis,"Analysis, PDEs, and Dynamics",Fréchet algebras / Michael's problem,open,Dense ideals in topological algebras: some results and open problems,zelazko-dense-ideals
12899,Analysis,"Analysis, PDEs, and Dynamics",Corona problem in several complex variables,open,,math/9509202
12900,Analysis,"Analysis, PDEs, and Dynamics",Topological algebras,open,Dense ideals in topological algebras: some results and open problems,zelazko-dense-ideals
12901,Analysis,"Analysis, PDEs, and Dynamics",Several complex variables / peak points,open,,math/9509202
12902,Analysis,"Analysis, PDEs, and Dynamics",Topological algebras and dense ideals,unknown,Dense ideals in topological algebras: some results and open problems,zelazko-dense-ideals
12903,Analysis,"Analysis, PDEs, and Dynamics",Representing measures for the ball algebra,unknown,,math/9509202
12904,Analysis,"Analysis, PDEs, and Dynamics",Zero sets of bounded holomorphic functions,unknown,,math/9509202
12905,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",d-bar Neumann problem,partially_solved,,math/9509202
12906,Analysis,"Analysis, PDEs, and Dynamics",d-bar Neumann problem / Kohn solution operator,unknown,,math/9509202
12907,Analysis,"Analysis, PDEs, and Dynamics",Cauchy–Riemann equation / Hölder estimates,partially_solved,,math/9509202
12908,Analysis,"Analysis, PDEs, and Dynamics",dbar equation on convex domains,partially_solved,,math/9509202
12909,Analysis,"Analysis, PDEs, and Dynamics",Cauchy–Riemann equation uniform estimates,open,,math/9509202
12910,Analysis,"Analysis, PDEs, and Dynamics",Several complex variables / d-bar estimates,unknown,,math/9509202
12911,Geometry,Geometry and Topology,Pseudoconvex domains and Stein manifolds,open,,math/9509202
12912,Analysis,"Analysis, PDEs, and Dynamics",Bergman metric on pseudoconvex domains,partially_solved,,math/9509202
12913,Analysis,"Analysis, PDEs, and Dynamics",Bergman kernel / Lu Qi-Keng problem,open,,math/9509202
12914,Analysis,"Analysis, PDEs, and Dynamics",Invariant metrics in several complex variables,open,,math/9509202
12915,Analysis,"Analysis, PDEs, and Dynamics",Invariant metrics in several complex variables,open,,math/9509202
12916,Analysis,"Analysis, PDEs, and Dynamics",finite type in several complex variables,partially_solved,,math/9509202
12917,Analysis,"Analysis, PDEs, and Dynamics",Several complex variables / pseudoconvex domains,unknown,,math/9509202
12918,Analysis,"Analysis, PDEs, and Dynamics",Kobayashi metric on pseudoconvex domains,open,,math/9509202
12919,Geometry,Geometry and Topology,Kobayashi metric on finite type domains,partially_solved,,math/9509202
12920,Analysis,"Analysis, PDEs, and Dynamics",Invariant metrics on balanced domains,open,,math/9509202
12921,Geometry,Geometry and Topology,Kobayashi pseudometric,open,,math/9509202
12922,Geometry,Geometry and Topology,Kobayashi and Carathéodory metrics,solved,,math/9509202
12923,Analysis,"Analysis, PDEs, and Dynamics",Kobayashi metric on pseudoconvex domains,unknown,,math/9509202
12924,Analysis,"Analysis, PDEs, and Dynamics",Several complex variables / Stein neighborhood bases,unknown,,math/9509202
12925,Analysis,"Analysis, PDEs, and Dynamics",Complex Monge-Ampère operator,partially_solved,,math/9509202
12926,Analysis,"Analysis, PDEs, and Dynamics",Pluripotential theory / extremal plurisubharmonic functions,unknown,,math/9509202
12927,Analysis,"Analysis, PDEs, and Dynamics",Automorphism groups of domains in several complex variables,partially_solved,,math/9509202
12928,Algebra,Algebra and Representation Theory,Jacobian conjecture,open,,math/9509202
12929,Algebra,Algebra and Representation Theory,real Jacobian conjecture,open,,math/9509202
12930,Analysis,"Analysis, PDEs, and Dynamics",Proper holomorphic correspondences,unknown,,math/9509202
12931,Analysis,"Analysis, PDEs, and Dynamics",Several complex variables / proper holomorphic mappings,open,,math/9509202
12932,Analysis,"Analysis, PDEs, and Dynamics",Boundary regularity of biholomorphisms,unknown,,math/9509202
12933,Geometry,Geometry and Topology,Stein manifolds and holomorphic immersions,open,,math/9509202
12934,Geometry,Geometry and Topology,Stein manifold immersions,unknown,,math/9509202
12935,Geometry,Geometry and Topology,Stein manifolds and holomorphic immersions,unknown,,math/9509202
12936,Geometry,Geometry and Topology,Stein manifold immersions,unknown,,math/9509202
12937,Analysis,"Analysis, PDEs, and Dynamics",Several complex variables / Fatou–Bieberbach domains,solved,,math/9509202
12938,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Complex Hénon maps / holomorphic dynamics,solved,,math/9509202
12939,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Complex Hénon dynamics,partially_solved,,math/9509202
12940,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Complex Hénon maps,open,,math/9509202
12941,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Holomorphic dynamics on projective space,unknown,,math/9509202
12942,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Holomorphic dynamics on projective space,partially_solved,,math/9509202
12943,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Holomorphic dynamics on projective space,solved,,math/9509202
12944,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",local holomorphic dynamics in several complex variables,open,,math/9509202
12945,Dynamical Systems,"Analysis, PDEs, and Dynamics",Complex dynamics on projective space,unknown,,math/9509202
12946,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Complex dynamics on projective space,solved,,math/9509202
12947,Dynamical Systems,"Analysis, PDEs, and Dynamics",Critically finite holomorphic maps on projective space,open,,math/9509202
12948,Geometry,Geometry and Topology,Holomorphic immersions of complex manifolds,unknown,,math/9509202
12949,Analysis,"Analysis, PDEs, and Dynamics",Polynomial hulls and analytic structure,unknown,,math/9509202
12950,Geometry,Geometry and Topology,Bounded holomorphic functions on negatively curved Kähler manifolds,partially_solved,,math/9509202
12951,Geometry,Geometry and Topology,CR manifolds and embeddability,open,,math/9509202
12952,Analysis,"Analysis, PDEs, and Dynamics",CR geometry and boundaries of complex varieties,partially_solved,,math/9509202
12953,Geometry,Geometry and Topology,CR manifolds and quasiconformal mappings,unknown,,math/9509202
12954,Geometry,Geometry and Topology,Quasiconformal CR mappings,unknown,,math/9509202
12955,Analysis,"Analysis, PDEs, and Dynamics",Kobayashi metric on pseudoconvex domains,unknown,,math/9509202
12956,Analysis,"Analysis, PDEs, and Dynamics",finite type domains in several complex variables,partially_solved,,math/9509202
12957,Combinatorics,Discrete Mathematics and Combinatorics,Lozenge tilings of hexagons,solved,,math/9801060
12958,Combinatorics,Discrete Mathematics and Combinatorics,Lozenge tilings of hexagons with holes,solved,,math/9801060
12959,Combinatorics,Discrete Mathematics and Combinatorics,Lozenge tilings of hexagons,solved,,math/9801060
12960,Combinatorics,Discrete Mathematics and Combinatorics,Lozenge tilings of hexagons,unknown,,math/9801060
12961,Combinatorics,Discrete Mathematics and Combinatorics,Smith normal form of Kasteleyn matrices,partially_solved,,math/9801060
12962,Combinatorics,Discrete Mathematics and Combinatorics,Kasteleyn matrices and dimer models,unknown,,math/9801060
12963,Combinatorics,Discrete Mathematics and Combinatorics,domino tilings of Aztec diamonds,unknown,,math/9801060
12964,Combinatorics,Discrete Mathematics and Combinatorics,domino tilings of Aztec regions,solved,,math/9801060
12965,Number Theory,Number Theory,Integral points on curves,unknown,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,google__07-workshop-problems
12966,Combinatorics,Discrete Mathematics and Combinatorics,domino tilings of Aztec regions,solved,,math/9801060
12967,Number Theory,Number Theory,Diophantine equations in binomial coefficients,solved,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,google__07-workshop-problems
12968,Combinatorics,Discrete Mathematics and Combinatorics,Aztec diamond domino tilings / Kasteleyn matrices,unknown,,math/9801060
12969,Number Theory,Number Theory,Generalized Fermat equations,solved,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,google__07-workshop-problems
12970,Combinatorics,Discrete Mathematics and Combinatorics,Domino tilings of Aztec regions,open,,math/9801060
12971,Number Theory,Number Theory,Lebesgue–Nagell equations,partially_solved,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,google__07-workshop-problems
12972,Combinatorics,Discrete Mathematics and Combinatorics,Perfect matchings and local moves,open,,math/9801060
12973,Number Theory,Number Theory,Generalized Fermat equations,open,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,google__07-workshop-problems
12974,Combinatorics,Discrete Mathematics and Combinatorics,Perfect matchings of hypercubes,open,,math/9801060
12975,Number Theory,Number Theory,Generalized Fermat equations,partially_solved,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,google__07-workshop-problems
12976,Combinatorics,Discrete Mathematics and Combinatorics,Perfect matchings of the hypercube,unknown,,math/9801061
12977,Number Theory,Number Theory,Rational points on hyperelliptic curves,unknown,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,google__07-workshop-problems
12978,Probability,"Probability, Statistics, and ML",Hydrodynamic limits of disordered zero-range processes,partially_solved,Recent Results and Open Problems on the Hydrodynamics of Disordered Asymmetric Exclusion and Zero-Range Processes,math/9906194
12979,Number Theory,Number Theory,Diophantine approximation of logarithms,open,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,google__07-workshop-problems
12980,Probability,"Probability, Statistics, and ML",Disordered zero-range processes / condensation,partially_solved,Recent Results and Open Problems on the Hydrodynamics of Disordered Asymmetric Exclusion and Zero-Range Processes,math/9906194
12981,Number Theory,Number Theory,Exponential Diophantine equations,open,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,google__07-workshop-problems
12982,Probability,"Probability, Statistics, and ML",disordered zero-range processes,partially_solved,Recent Results and Open Problems on the Hydrodynamics of Disordered Asymmetric Exclusion and Zero-Range Processes,math/9906194
12983,Number Theory,Number Theory,Perfect powers in short intervals,unknown,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,google__07-workshop-problems
